OFNS_DESC,Latitude,Longitude
CRIMINAL MISCHIEF & RELATED OF,40.64521132,-74.078424235
HARRASSMENT 2,40.598828687,-74.165006013
THEFT-FRAUD,40.587147513000005,-74.109200332
CRIMINAL MISCHIEF & RELATED OF,40.57854452,-74.107109125
CRIMINAL MISCHIEF & RELATED OF,40.639536936,-74.087303024
FRAUDS,40.645022746,-74.077216847
PETIT LARCENY,40.565183394,-74.115009492
DANGEROUS WEAPONS,40.628612559000004,-74.075861296
OFF. AGNST PUB ORD SENSBLTY &,40.635444717,-74.120437756
HARRASSMENT 2,40.615491223,-74.08165623
ASSAULT 3 & RELATED OFFENSES,40.630323389000004,-74.15243843
HARRASSMENT 2,40.558306305,-74.176602066
INTOXICATED & IMPAIRED DRIVING,40.582205825,-74.110290281
HARRASSMENT 2,40.636624596,-74.140152071
SEX CRIMES,40.644726131,-74.077483159
OFFENSES AGAINST PUBLIC ADMINI,40.598828687,-74.165006013
OFFENSES AGAINST PUBLIC ADMINI,40.638984176,-74.171252305
HARRASSMENT 2,40.615530201,-74.08468906899999
ASSAULT 3 & RELATED OFFENSES,40.645337665,-74.102711974
OFF. AGNST PUB ORD SENSBLTY &,40.610190341,-74.158500781
CRIMINAL MISCHIEF & RELATED OF,40.586855984,-74.100825453
FELONY ASSAULT,40.610193463,-74.167900984
OFF. AGNST PUB ORD SENSBLTY &,40.544998617,-74.19084053899999
PETIT LARCENY,40.624236771999996,-74.080755533
GRAND LARCENY,40.64510599,-74.094401974
OFF. AGNST PUB ORD SENSBLTY &,40.623226819,-74.149226973
GRAND LARCENY,40.612416035,-74.132771734
FELONY ASSAULT,40.621210231999996,-74.083248193
HARRASSMENT 2,40.633386324,-74.135079653
HARRASSMENT 2,40.636698027,-74.14728263399999
CRIMINAL MISCHIEF & RELATED OF,40.624202885,-74.078158191
CRIMINAL MISCHIEF & RELATED OF,40.534808445,-74.235903127
SEX CRIMES,40.573849649,-74.105496156
HARRASSMENT 2,40.56345201,-74.139271542
MISCELLANEOUS PENAL LAW,40.595753238,-74.07791244100001
MISCELLANEOUS PENAL LAW,40.621210231999996,-74.083248193
OFFENSES AGAINST PUBLIC ADMINI,40.594193443,-74.16449765600001
OTHER OFFENSES RELATED TO THEF,40.592630321,-74.068233836
DANGEROUS DRUGS,40.634701430999996,-74.16623324
HARRASSMENT 2,40.576973145,-74.169732575
ASSAULT 3 & RELATED OFFENSES,40.545561954,-74.178489783
PETIT LARCENY,40.527595098,-74.191657765
HARRASSMENT 2,40.56207524,-74.113283814
ASSAULT 3 & RELATED OFFENSES,40.615491223,-74.08165623
UNAUTHORIZED USE OF A VEHICLE,40.637492364,-74.086914819
CRIMINAL MISCHIEF & RELATED OF,40.628470366,-74.09031111899999
OFFENSES AGAINST PUBLIC ADMINI,40.588130525,-74.166156916
HARRASSMENT 2,40.586855984,-74.100825453
FELONY ASSAULT,40.527595098,-74.191657765
HARRASSMENT 2,40.623140111,-74.08284714199999
PETIT LARCENY,40.560192805999996,-74.125973973
ROBBERY,40.51728641,-74.234107729
SEX CRIMES,40.644726131,-74.077483159
HARRASSMENT 2,40.57156584,-74.108580938
CRIMINAL MISCHIEF & RELATED OF,40.597022698,-74.083779775
HARRASSMENT 2,40.593467539,-74.095178734
BURGLARY,40.591716597,-74.06773602
HARRASSMENT 2,40.565841693,-74.14013313699999
HARRASSMENT 2,40.574628536,-74.093560827
DANGEROUS DRUGS,40.638063982,-74.166108302
OFF. AGNST PUB ORD SENSBLTY &,40.626142073000004,-74.157252583
BURGLARY,40.637582152,-74.13589163399999
DANGEROUS DRUGS,40.639235511,-74.079018941
OFF. AGNST PUB ORD SENSBLTY &,40.553302763000005,-74.149344289
HARRASSMENT 2,40.598828687,-74.165006013
HARRASSMENT 2,40.615491223,-74.08165623
GRAND LARCENY,40.549368557,-74.156201106
OFF. AGNST PUB ORD SENSBLTY &,40.623226819,-74.149226973
GRAND LARCENY,40.615763819,-74.12623373
CRIMINAL MISCHIEF & RELATED OF,40.620633147,-74.12365298
PETIT LARCENY,40.511586338,-74.249303727
OFF. AGNST PUB ORD SENSBLTY &,40.589952472,-74.158819998
ROBBERY,40.612370118,-74.064857593
PETIT LARCENY,40.626858064000004,-74.163443377
INTOXICATED & IMPAIRED DRIVING,40.53513491,-74.193420609
FELONY ASSAULT,40.568320922,-74.122760688
OFFENSES AGAINST PUBLIC ADMINI,40.644095031999996,-74.081168738
DANGEROUS WEAPONS,40.636576503,-74.078006945
HARRASSMENT 2,40.579932954,-74.088254701
OFFENSES AGAINST PUBLIC ADMINI,40.625363671,-74.082460842
INTOXICATED & IMPAIRED DRIVING,40.62606249,-74.177952154
PETIT LARCENY,40.637704673,-74.111279178
PETIT LARCENY,40.584579845,-74.104674254
INTOXICATED & IMPAIRED DRIVING,40.560418209,-74.199381653
HARRASSMENT 2,40.575495801,-74.10629069699999
ASSAULT 3 & RELATED OFFENSES,40.607248127,-74.07839404399999
ASSAULT 3 & RELATED OFFENSES,40.549587507,-74.137371508
HARRASSMENT 2,40.546485715,-74.22030306399999
PETIT LARCENY,40.646678587,-74.084000685
OFF. AGNST PUB ORD SENSBLTY &,40.511586338,-74.249303727
HARRASSMENT 2,40.646570434000004,-74.089117614
HARRASSMENT 2,40.642924065,-74.09418268399999
PETIT LARCENY,40.6386515,-74.132142942
FELONY ASSAULT,40.629486071,-74.158640277
GRAND LARCENY,40.59418005,-74.09321734699999
ASSAULT 3 & RELATED OFFENSES,40.631013196,-74.102055847
FELONY ASSAULT,40.63750259,-74.084237746
INTOXICATED & IMPAIRED DRIVING,40.589686409,-74.192786504
FELONY ASSAULT,40.625018351,-74.14773598
